Machinename,Architecture,Kernel,DDRMemTotal,Numthreads,core_freq,Copies,flags,410.bwaves,416.gamess,433.milc,434.zeusmp,435.gromacs,436.cactusADM,437.leslie3d,444.namd,447.dealII,450.soplex,453.povray,454.calculix,FolderName,
Naples, ,4.10.0-26-generic, 528325660 kB, , ,1, ,48.342404,28.819714,41.575509,44.361926,24.076238,43.457518,51.286789,21.79614,40.581043,34.348091,28.782919,13.000132,C:\cygwin\home\rgadgil\specintlogs/naples_32c_1S_170712_0710/CFP2006.002.ref.csv,
Naples, ,4.10.0-26-generic, 528325660 kB, , ,1, ,26.602643,20.431305,31.197071,36.339614,20.2655,23.617958,19.724333,59.533403,42.880421,20.229948,17.040634,29.82618,C:\cygwin\home\rgadgil\specintlogs/naples_32c_1S_170712_0710/CINT2006.001.ref.csv,
Naples, ,4.10.0-26-generic, 528323612 kB, , ,1, ,48.85739,28.834048,42.311498,44.569935,24.103833,43.676821,52.080902,21.83204,40.874511,35.319243,29.038174,13.029129,C:\cygwin\home\rgadgil\specintlogs/naples_32c_1S_170713_0036/CFP2006.002.ref.csv,
Naples, ,4.10.0-26-generic, 528323612 kB, , ,2, ,97.234206,57.658532,83.312992,89.067608,47.63636,84.917446,92.834984,43.603642,81.144288,66.902966,57.73665,26.032842,C:\cygwin\home\rgadgil\specintlogs/naples_32c_1S_170713_0036/CFP2006.004.ref.csv,
Naples, ,4.10.0-26-generic, 528323612 kB, , ,64, ,1149.953408,1711.78496,808.381696,2018.320064,1235.547264,1655.358592,833.870848,957.523264,1923.95456,932.580544,1231.332608,675.892352,C:\cygwin\home\rgadgil\specintlogs/naples_32c_1S_170713_0036/CFP2006.006.ref.csv,
Naples, ,4.10.0-26-generic, 528323612 kB, , ,32, ,612.698112,890.438752,488.336704,1053.160448,753.91568,1057.182016,442.418176,695.352384,1190.473504,673.763392,895.630528,407.40512,C:\cygwin\home\rgadgil\specintlogs/naples_32c_1S_170713_0036/CFP2006.008.ref.csv,
Naples, ,4.10.0-26-generic, 528323612 kB, , ,1, ,46.351188,29.412133,29.822819,37.662983,23.843246,24.843184,41.727763,21.822021,37.565814,33.953747,29.136591,11.271881,C:\cygwin\home\rgadgil\specintlogs/naples_32c_1S_170713_0036/CFP2006.010.ref.csv,
Naples, ,4.10.0-26-generic, 528323612 kB, , ,2, ,88.344938,55.888888,59.084846,73.394338,46.847704,49.336822,70.46535,43.612796,74.173354,64.296412,58.270612,22.512522,C:\cygwin\home\rgadgil\specintlogs/naples_32c_1S_170713_0036/CFP2006.012.ref.csv,
Naples, ,4.10.0-26-generic, 528323612 kB, , ,64, ,611.899904,1143.102976,594.022336,1360.966336,1424.961152,1047.567872,657.397824,938.94112,1511.376896,744.65888,1217.121152,370.079488,C:\cygwin\home\rgadgil\specintlogs/naples_32c_1S_170713_0036/CFP2006.014.ref.csv,
Naples, ,4.10.0-26-generic, 528323612 kB, , ,32, ,630.158976,835.591616,403.338528,959.217152,750.116768,720.174912,490.651104,695.852448,1095.560512,527.84784,893.249088,350.84928,C:\cygwin\home\rgadgil\specintlogs/naples_32c_1S_170713_0036/CFP2006.016.ref.csv,
